conta,descricao,valor_text,valor
Nome do Fundo: BB AÇÕES GLOBAIS HEDGE INVESTIMENTO NO EXTERIOR FUNDO DE INVESTIMENTO FINANCEIRO RESP LIMITADA,CNPJ: 32.811.422/0001-33,CNPJ: 32.811.422/0001-33,
Tipo: CLASSES DE COTAS DE FUNDOS FIF,Cód. CVM: 237477,Cód. CVM: 237477,0.237477
Conta,Descrição da Conta,Valor Saldo,
10000007,REALIZÁVEL,"98.906.104,87",98906104.87
11000006,DISPONIBILIDADES,"5.914.623,02",5914623.02
11200002,DEPÓSITOS BANCÁRIOS,"4.800.090,81",4800090.81
11210009,BANCOS OFICIAIS - CONTA DEPÓSITOS,"4.800.090,81",4800090.81
11500001,DISPONIBILIDADES EM MOEDAS ESTRANGEIRAS,"1.114.532,21",1114532.21
11520005,DEPÓSITOS NO EXTERIOR EM MOEDAS ESTRANGEIRAS,"1.114.532,21",1114532.21
12000005,APLICAÇÕES INTERFINANCEIRAS DE LIQUIDEZ,"3.239.923,91",3239923.91
12100008,APLICAÇÕES EM OPERAÇÕES COMPROMISSADAS,"3.239.923,91",3239923.91
12110005,REVENDAS A LIQUIDAR - POSIÇÃO BANCADA,"3.239.923,91",3239923.91
12110036,LETRAS FINANCEIRAS DO TESOURO,"3.239.923,91",3239923.91
13000004,TÍTULOS E VALORES MOBILIÁRIOS E INSTRUMENTOS FINANCEIROS DERIVATIVOS,"89.748.408,66",89748408.66
13100007,LIVRES,"79.024.810,59",79024810.59
13110004,TÍTULOS DE RENDA FIXA,"3.315.326,55",3315326.55
13110035,LETRAS FINANCEIRAS DO TESOURO,"3.315.326,55",3315326.55
13115009,COTAS DE FUNDOS DE INVESTIMENTO,",00",0.0
13115360,COTAS DE FUNDO DE INVESTIMENTO DE ÍNDICE DE MERCADO,",00",0.0
13185008,APLICAÇÕES EM TÍTULOS E VALORES MOBILIÁRIOS NO EXTERIOR,"75.709.484,04",75709484.04
13185709,Cotas de Fundos de Investimento,"75.709.484,04",75709484.04
13300003,INSTRUMENTOS FINANCEIROS DERIVATIVOS,"9.526,50",9526.5
13345006,MERCADOS FUTUROS - AJUSTES DIÁRIOS - ATIVO,"9.526,50",9526.5
13345109,FUTUROS,"9.526,50",9526.5
13600002,VINCULADOS À PRESTAÇÃO DE GARANTIAS,"10.714.071,57",10714071.57
13610009,TÍTULOS DADOS EM GARANTIA DE OPERAÇÕES EM BOLSA,"10.714.071,57",10714071.57
13610023,TÍTULOS PÚBLICOS FEDERAIS - TESOURO NACIONAL,"10.714.071,57",10714071.57
18000009,OUTROS CRÉDITOS,"13,87",13.87
18400001,NEGOCIAÇÃO E INTERMEDIAÇÃO DE VALORES,"13,87",13.87
18430002,DEVEDORES - CONTA LIQUIDAÇÕES PENDENTES,"13,87",13.87
18490004,OUTROS CRÉDITOS POR NEGOCIAÇÃO E INTERMEDIAÇÃO DE VALORES,",00",0.0
19000008,OUTROS VALORES E BENS,"3.135,41",3135.41
19900005,DESPESAS ANTECIPADAS,"3.135,41",3135.41
19910002,DESPESAS ANTECIPADAS,"3.135,41",3135.41
30000001,COMPENSAÇÃO,"225.715.639,05",225715639.05
30300000,TÍTULOS E VALORES MOBILIÁRIOS,"89.738.882,16",89738882.16
30330001,ATIVOS PARA NEGOCIAÇÃO,"89.738.882,16",89738882.16
30330025,TÍTULOS PÚBLICOS FEDERAIS - NEGOCIÁVEIS COMPETITIVOS,"14.029.398,12",14029398.12
30330771,COTAS DE FUNDOS DE INVESTIMENTO,"75.709.484,04",75709484.04
30400003,CUSTÓDIA DE VALORES,"12.950.379,89",12950379.89
30430004,DEPOSITÁRIOS DE VALORES EM CUSTÓDIA,"12.950.379,89",12950379.89
30430107,PRÓPRIOS,"12.950.379,89",12950379.89
30600009,NEGOCIAÇÃO E INTERMEDIAÇÃO DE VALORES,"78.499.636,00",78499636.0
30610006,"CONTRATOS DE AÇÕES, ATIVOS FINANCEIROS E MERCADORIAS","78.499.636,00",78499636.0
30610257,CONTRATOS MERCADO FUTURO VENDIDOS,"78.499.636,00",78499636.0
30900008,CONTROLE,"44.526.741,00",44526741.0
30915000,CONTROLE E MOVIMENTAÇÃO DE COTAS,"44.526.741,00",44526741.0
30915055,EMISSÕES,"333.999,65",333999.65
30915103,RESGATES,"1.852.341,54",1852341.54
30915158,COTAS EM CIRCULAÇÃO,"42.340.399,81",42340399.81
39999993,TOTAL GERAL DO ATIVO,"324.621.743,92",324621743.92
40000008,EXIGÍVEL,"2.035.589,48",2035589.48
49000009,OUTRAS OBRIGAÇÕES,"2.035.589,48",2035589.48
49500004,NEGOCIAÇÃO E INTERMEDIAÇÃO DE VALORES,"2.014.115,65",2014115.65
49521007,COTAS A EMITIR,"10.000,00",10000.0
49524004,COTAS A RESGATAR,"2.004.115,65",2004115.65
49900006,DIVERSAS,"21.473,83",21473.83
49930007,PROVISÃO PARA PAGAMENTOS A EFETUAR,"18.963,90",18963.9
49930502,OUTRAS DESPESAS ADMINISTRATIVAS,"18.963,90",18963.9
49983009,VALORES A PAGAR À SOCIEDADE ADMINISTRADORA,"1.927,11",1927.11
49983102,TAXA DE ADMINISTRAÇÃO,"1.927,11",1927.11
49992007,CREDORES DIVERSOS - PAÍS,"582,82",582.82
60000002,PATRIMÔNIO LÍQUIDO,"94.281.726,36",94281726.36
61000001,PATRIMÔNIO LÍQUIDO,"94.281.726,36",94281726.36
61100004,CAPITAL SOCIAL,"69.091.697,53",69091697.53
61170003,COTAS DE INVESTIMENTO,"70.127.342,66",70127342.66
61170106,COTAS A INDIVIDUALIZAR,",00",0.0
61170209,PESSOAS FÍSICAS,"3.260.000,00",3260000.0
61170302,PESSOAS JURÍDICAS,"66.867.342,66",66867342.66
61180000,VARIAÇÕES NO RESGATE DE COTAS,"-1.035.645,13",-1035645.13
61800005,LUCROS OU PREJUÍZOS ACUMULADOS,"25.190.028,83",25190028.83
61810002,LUCROS OU PREJUÍZOS ACUMULADOS,"25.190.028,83",25190028.83
70000009,CONTAS DE RESULTADO CREDORAS,"83.525.465,90",83525465.9
71000008,RECEITAS OPERACIONAIS,"83.524.811,47",83524811.47
71300007,RENDAS DE CÂMBIO,"4.315.058,86",4315058.86
71390000,RENDAS DE VARIAÇÃO CAMBIAL - OUTROS,"4.315.058,86",4315058.86
71400000,RENDAS DE APLICAÇÕES INTERFINANCEIRAS DE LIQUIDEZ,"24.553,69",24553.69
71410007,RENDAS DE APLICAÇÕES EM OPERAÇÕES COMPROMISSADAS,"24.553,69",24553.69
71410100,POSIÇÃO BANCADA,"24.553,69",24553.69
71500003,RENDAS COM TÍTULOS E VALORES MOBILIÁRIOS E INSTRUMENTOS FINANCEIROS DERIVATIVOS,"79.185.198,92",79185198.92
71510000,RENDAS DE TÍTULOS DE RENDA FIXA,"179.151,82",179151.82
71515005,RENDAS DE TÍTULOS E VALORES MOBILIÁRIOS NO EXTERIOR,"5.099.793,80",5099793.8
71580009,RENDAS EM OPERAÇÕES COM DERIVATIVOS,"73.899.881,95",73899881.95
71580315,FUTURO,"73.899.881,95",73899881.95
71590006,TVM - AJUSTE POSITIVO AO VALOR DE MERCADO,"6.371,35",6371.35
71590109,TÍTULOS PARA NEGOCIAÇÃO,"6.371,35",6371.35
73000006,RECEITAS NÃO OPERACIONAIS,"654,43",654.43
73900003,OUTRAS RECEITAS NÃO OPERACIONAIS,"654,43",654.43
73999007,OUTRAS RENDAS NÃO OPERACIONAIS,"654,43",654.43
80000006,CONTAS DE RESULTADO DEVEDORAS,"-80.936.676,87",-80936676.87
81000005,DESPESAS OPERACIONAIS,"-80.936.094,05",-80936094.05
81300004,DESVALORIZAÇÃO DE CÂMBIO,"-3.454.108,25",-3454108.25
81390007,DESVALORIZAÇÃO DE VARIAÇÃO CAMBIAL - OUTROS,"-3.454.108,25",-3454108.25
81500000,DESPESAS COM TÍTULOS E VALORES MOBILIÁRIOS E INSTRUMENTOS FINANCEIROS DERIVATIVOS,"-77.429.641,71",-77429641.71
81510007,DESVALORIZAÇÃO DE TÍTULOS E VALORES MOBILIÁRIOS NO EXTERIOR,"-3.234.927,03",-3234927.03
81550005,DESPESAS EM OPERAÇÕES COM DERIVATIVOS,"-74.188.546,60",-74188546.6
81550311,FUTURO,"-74.188.546,60",-74188546.6
81580006,TVM - AJUSTE NEGATIVO AO VALOR DE MERCADO,"-6.168,08",-6168.08
81580109,TÍTULOS PARA NEGOCIAÇÃO,"-6.168,08",-6168.08
81700006,DESPESAS ADMINISTRATIVAS,"-52.344,09",-52344.09
81754007,DESPESAS DE SERVIÇOS DO SISTEMA FINANCEIRO,"-6.389,54",-6389.54
81763005,DESPESAS DE SERVIÇOS TÉCNICOS ESPECIALIZADOS,"-235,70",-235.7
81781001,DESPESAS DE TAXA DE ADMINISTRAÇÃO DO FUNDO,"-44.428,25",-44428.25
81781056,DESPESAS DE TAXA DE ADMINISTRAÇÃO EFETIVA,"-7.104,00",-7104.0
81781104,DESPESAS DE TAXA DE GESTÃO,"-32.725,93",-32725.93
81781207,DESPESAS DE CONTROLADORIA,"-4.598,32",-4598.32
81799000,OUTRAS DESPESAS ADMINISTRATIVAS,"-1.290,60",-1290.6
83000003,DESPESAS NÃO OPERACIONAIS,"-582,82",-582.82
83900000,OUTRAS DESPESAS NÃO OPERACIONAIS,"-582,82",-582.82
83999004,OUTRAS DESPESAS NÃO OPERACIONAIS,"-582,82",-582.82
90000003,COMPENSAÇÃO,"225.715.639,05",225715639.05
90300002,TÍTULOS E VALORES MOBILIÁRIOS,"89.738.882,16",89738882.16
90320006,TÍTULOS E VALORES MOBILIÁRIOS CLASSIFICADOS EM CATEGORIAS,"89.738.882,16",89738882.16
90400005,CUSTÓDIA DE VALORES,"12.950.379,89",12950379.89
90430006,VALORES CUSTODIADOS,"12.950.379,89",12950379.89
90600001,NEGOCIAÇÃO E INTERMEDIAÇÃO DE VALORES,"78.499.636,00",78499636.0
90610008,"AÇÕES, ATIVOS FINANCEIROS E MERCADORIAS CONTRATADOS","78.499.636,00",78499636.0
90610101,CONTRATOS MERCADO FUTURO,"78.499.636,00",78499636.0
90900000,CONTROLE,"44.526.741,00",44526741.0
90917000,MOVIMENTAÇÃO DE COTAS - CONTROLE,"44.526.741,00",44526741.0
90917055,EMISSÕES,"333.999,65",333999.65
90917103,RESGATES,"1.852.341,54",1852341.54
90917158,CIRCULAÇÃO,"42.340.399,81",42340399.81
99999995,TOTAL GERAL DO PASSIVO,"324.621.743,92",324621743.92
